Approved symbol	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)	UniProt ID(supplied by UniProt)
RNA5SP106	106478994	ENSG00000253083	
RNA5SP107	100873377	ENSG00000223290	
RNA5SP108	100873378	ENSG00000271924	
RNA5SP109	100873379	ENSG00000212312	
RNA5SP110	100873380	ENSG00000199508	
RNA5SP111	100873381	ENSG00000223318	
RNA5SP112	100873382	ENSG00000251746	
RNA5SP113	100873383	ENSG00000222418	
RNA5SP114	100873384	ENSG00000200650	
RNA5SP115	100873385	ENSG00000223092	
RNA5SP116	100873386	ENSG00000251941	
RNA5SP117	100873387	ENSG00000202164	
RNA5SP118	100873388	ENSG00000222317	
RNA5SP119	100873389	ENSG00000199585	
RNA5SP120	100873390	ENSG00000222832	
RNA5SP121	100873391	ENSG00000252346	
RNA5SP122	100873392	ENSG00000207186	
RNA5SP123	100873393	ENSG00000200114	
RNA5SP124	100873394	ENSG00000199609	
RNA5SP125	100873395	ENSG00000201713	
RNA5SP126	100873396	ENSG00000201962	
RNA5SP127	100873397	ENSG00000222983	
RNA5SP128	100873398	ENSG00000202175	
RNA5SP129	100873399	ENSG00000222208	
RNA5SP130	106478995	ENSG00000201301	
RNA5SP131	100873400	ENSG00000202322	
RNA5SP132	100873401	ENSG00000201595	
RNA5SP133	100873402	ENSG00000200238	
RNA5SP134	106480756	ENSG00000252301	
RNA5SP135	100873403	ENSG00000252828	
RNA5SP136	100873404	ENSG00000222838	
RNA5SP137	100873405	ENSG00000252642	
RNA5SP138	100873406	ENSG00000201968	
RNA5SP139	100873407	ENSG00000201210	
RNA5SP140	106478996	ENSG00000201394	
RNA5SP141	100873408	ENSG00000201413	
RNA5SP142	100873409	ENSG00000201325	
RNA5SP143	100873410	ENSG00000252745	
RNA5SP144	100873411	ENSG00000222778	
RNA5SP145	100873412	ENSG00000199994	
RNA5SP146	100873413	ENSG00000222675	
RNA5SP147	100873414	ENSG00000252302	
RNA5SP148	100873415	ENSG00000252336	
RNA5SP149	106480437	ENSG00000201822	
RNA5SP150	100873416	ENSG00000199839	
RNA5SP151	100873417	ENSG00000202502	
RNA5SP152	100873418	ENSG00000202054	
RNA5SP153	100873419	ENSG00000252307	
RNA5SP154	100873420	ENSG00000252002	
RNA5SP155	100873421	ENSG00000223086	
RNA5SP156	100873422	ENSG00000222182	
RNA5SP157	100873423	ENSG00000251816	
RNA5SP158	100873424	ENSG00000222230	
RNA5SP159	100873425	ENSG00000252970	
RNA5SP160	100873426	ENSG00000201736	
RNA5SP161	106480757	ENSG00000200741	
RNA5SP162	100873427	ENSG00000251823	
RNA5SP163	100873428	ENSG00000222236	
RNA5SP164	100873429	ENSG00000252342	
RNA5SP165	100873430	ENSG00000252951	
RNA5SP166	100873431	ENSG00000201846	
RNA5SP167	100873432	ENSG00000202331	
RNA5SP168	100873433	ENSG00000252451	
RNA5SP169	100873434	ENSG00000253077	
RNA5SP170	100873435	ENSG00000252959	
RNA5SP171	100873436	ENSG00000212373	
RNA5SP172	106478997	ENSG00000201931	
RNA5SP173	100873437	ENSG00000201727	
RNA5SP174	106478998	ENSG00000199572	
RNA5SP175	106480758	ENSG00000201145	
RNA5SP176	100873438	ENSG00000212258	
RNA5SP177	100873439	ENSG00000222054	
RNA5SP178	100873440	ENSG00000222312	
RNA5SP179	100873441	ENSG00000253093	
RNA5SP180	100873442	ENSG00000251990	
RNA5SP181	100873443	ENSG00000222178	
RNA5SP182	100873444	ENSG00000251873	
RNA5SP183	100873445	ENSG00000199322	
RNA5SP184	100873446	ENSG00000223003	
RNA5SP185	100873447	ENSG00000212265	
RNA5SP186	100873448	ENSG00000252833	
RNA5SP187	100873449	ENSG00000207129	
RNA5SP188	100873450	ENSG00000199786	
RNA5SP189	100873451	ENSG00000201790	
RNA5SP190	100873452	ENSG00000202092	
RNA5SP191	100873453	ENSG00000199455	
RNA5SP192	100873454	ENSG00000201274	
RNA5SP193	100873455	ENSG00000222285	
RNA5SP194	100873456	ENSG00000201532	
RNA5SP195	100873457	ENSG00000199545	
RNA5SP196	100873458	ENSG00000280646	
RNA5SP197	100873459	ENSG00000200227	
RNA5SP198	100873460	ENSG00000222308	
RNA5SP199	106480438	ENSG00000200275	
RNA5SP200	100873461	ENSG00000252169	
RNA5SP201	100873462	ENSG00000222248	
RNA5SP202	100873463	ENSG00000201185	
RNA5SP203	100873464	ENSG00000222383	
RNA5SP204	100873465	ENSG00000201415	
RNA5SP205	100873466	ENSG00000201523	
RNA5SP206	106478999	ENSG00000252512	
RNA5SP207	100873467	ENSG00000212176	
RNA5SP208	100873468	ENSG00000251965	
RNA5SP209	100873469	ENSG00000223169	
RNA5SP210	100873470	ENSG00000212336	
RNA5SP211	100873471	ENSG00000202386	
RNA5SP212	100873472	ENSG00000212525	
RNA5SP213	100873473	ENSG00000212333	
RNA5SP214	100873474	ENSG00000200248	
RNA5SP215	100873475	ENSG00000200310	
RNA5SP216	100873476	ENSG00000251920	
RNA5SP217	100873477	ENSG00000251768	
RNA5SP218	100873478	ENSG00000200058	
RNA5SP219	100873479	ENSG00000212242	
RNA5SP220	100873480	ENSG00000252107	
RNA5SP221	106480759	ENSG00000223203	
RNA5SP222	100873481	ENSG00000222971	
RNA5SP223	100873482	ENSG00000202044	
RNA5SP224	100873483	ENSG00000201939	
RNA5SP225	100873484	ENSG00000222806	
RNA5SP226	106479000	ENSG00000199523	
RNA5SP227	100873485	ENSG00000251993	
RNA5SP228	100873486	ENSG00000252041	
RNA5SP229	100873487	ENSG00000222741	
RNA5SP230	100873488	ENSG00000252848	
RNA5SP231	100873489	ENSG00000222428	
RNA5SP232	100873490	ENSG00000201014	
RNA5SP233	100873491	ENSG00000238391	
RNA5SP234	100873492	ENSG00000200786	
RNA5SP235	100873493	ENSG00000202281	
RNA5SP236	100873494	ENSG00000251978	
RNA5SP237	100873495	ENSG00000222346	
RNA5SP238	100873496	ENSG00000202334	
RNA5SP239	100873497	ENSG00000222150	
RNA5SP240	100873498	ENSG00000202225	
RNA5SP241	100873499	ENSG00000212628	
RNA5SP242	100873500	ENSG00000201041	
RNA5SP243	106479001	ENSG00000252866	
RNA5SP244	100885864	ENSG00000212238	
RNA5SP245	100873501	ENSG00000201109	
RNA5SP246	100873502	ENSG00000239021	
RNA5SP247	100873503	ENSG00000223113	
RNA5SP248	100873504	ENSG00000202472	
RNA5SP249	100873505	ENSG00000251936	
RNA5SP250	100873506	ENSG00000199404	
RNA5SP251	100873507	ENSG00000222546	
RNA5SP252	100873508	ENSG00000212433	
RNA5SP253	106480760	ENSG00000252029	
RNA5SP254	106481793	ENSG00000252535	
RNA5SP255	100873509	ENSG00000252179	
RNA5SP256	100873510	ENSG00000212280	
RNA5SP257	100873511	ENSG00000274467	
RNA5SP258	100873512	ENSG00000199620	
RNA5SP259	100873513	ENSG00000202411	
RNA5SP260	100873514	ENSG00000200719	
RNA5SP261	100873515	ENSG00000222468	
RNA5SP262	100873516	ENSG00000252261	
RNA5SP263	106479002	ENSG00000200246	
RNA5SP264	100873517	ENSG00000199985	
RNA5SP265	100873518	ENSG00000222955	
RNA5SP266	100873519	ENSG00000222205	
RNA5SP267	100873520	ENSG00000201763	
RNA5SP268	100873521	ENSG00000252637	
RNA5SP269	100873522	ENSG00000239184	
RNA5SP270	100873523	ENSG00000223293	
RNA5SP271	100873524	ENSG00000252509	
RNA5SP272	100873525	ENSG00000251904	
RNA5SP273	100873526	ENSG00000199354	
RNA5SP274	100873527	ENSG00000222416	
RNA5SP275	100873528	ENSG00000200806	
RNA5SP276	100873529	ENSG00000199450	
RNA5SP277	100873530	ENSG00000202356	
RNA5SP278	100873531	ENSG00000252864	
RNA5SP279	100873532	ENSG00000202383	
RNA5SP280	100873533	ENSG00000223162	
RNA5SP281	100873534	ENSG00000252313	
RNA5SP282	100873535	ENSG00000252164	
RNA5SP283	100873536	ENSG00000202474	
RNA5SP284	100873537	ENSG00000207277	
RNA5SP285	100873538	ENSG00000252428	
RNA5SP286	100873539	ENSG00000212454	
RNA5SP287	100873540	ENSG00000252167	
RNA5SP288	100873541	ENSG00000251884	
RNA5SP289	100873542	ENSG00000199202	
RNA5SP290	100873543	ENSG00000252942	
RNA5SP291	100873544	ENSG00000253031	
RNA5SP292	100873545	ENSG00000212276	
RNA5SP293	100873546	ENSG00000222459	
RNA5SP294	100873547	ENSG00000223238	
RNA5SP295	100873548	ENSG00000199525	
RNA5SP296	100873549	ENSG00000222455	
RNA5SP297	106479003	ENSG00000212331	
RNA5SP298	106480761	ENSG00000201861	
RNA5SP299	100873574	ENSG00000212505	
RNA5SP300	100873575	ENSG00000212499	
RNA5SP301	100873576	ENSG00000199407	
RNA5SP302	106479004	ENSG00000201766	
RNA5SP303	100873577	ENSG00000252001	
RNA5SP304	100873578	ENSG00000223131	
RNA5SP305	100873579	ENSG00000199535	
RNA5SP306	100873580	ENSG00000223019	
RNA5SP307	100873581	ENSG00000199733	
RNA5SP308	100873582	ENSG00000199402	
RNA5SP309	100873583	ENSG00000252479	
RNA5SP310	106480762	ENSG00000239152	
RNA5SP311	106480358	ENSG00000238405	
RNA5SP312	106480439	ENSG00000252877	
RNA5SP313			
RNA5SP314			
RNA5SP315	106479005	ENSG00000252149	
RNA5SP316			
RNA5SP317	106479006	ENSG00000222108	
RNA5SP318	100873584	ENSG00000252161	
RNA5SP319	100873585	ENSG00000199638	
RNA5SP320	100873586	ENSG00000252072	
RNA5SP321	100873587	ENSG00000199592	
RNA5SP322	100873588	ENSG00000200487	
RNA5SP323	100873589	ENSG00000212396	
RNA5SP324	100873590	ENSG00000202047	
RNA5SP325	100873591	ENSG00000200626	
RNA5SP326	100873592	ENSG00000200079	
RNA5SP327	100873593	ENSG00000199364	
RNA5SP328	100873594	ENSG00000222740	
RNA5SP329	100873595	ENSG00000202147	
RNA5SP330	100873596	ENSG00000252905	
RNA5SP331	100873597	ENSG00000201856	
RNA5SP332	100873598	ENSG00000212365	
RNA5SP333	106480763	ENSG00000200336	
RNA5SP334	106865375	ENSG00000201695	
RNA5SP335	106479007	ENSG00000200687	
RNA5SP336	100873599	ENSG00000201059	
RNA5SP337	100873600	ENSG00000252816	
RNA5SP338	100873601	ENSG00000222427	
RNA5SP339	100873602	ENSG00000212289	
RNA5SP340	100873603	ENSG00000252941	
RNA5SP341	100873604	ENSG00000252070	
RNA5SP342	106479008	ENSG00000252902	
RNA5SP343	100873605	ENSG00000284736	
RNA5SP344	100873606	ENSG00000223013	
RNA5SP345	100873607	ENSG00000222578	
RNA5SP346	100873608	ENSG00000200411	
RNA5SP347	100873609	ENSG00000199315	
RNA5SP348	100873610		
RNA5SP349	100873611	ENSG00000200613	
RNA5SP350	106481794	ENSG00000200168	
RNA5SP351	106480764	ENSG00000238965	
RNA5SP352	100873612	ENSG00000200278	
RNA5SP353	100873613	ENSG00000201476	
RNA5SP354	100873614	ENSG00000212549	
RNA5SP355	106479009	ENSG00000202187	
RNA5SP356	100873615	ENSG00000251781	
RNA5SP357	100873616	ENSG00000272435	
RNA5SP358	100873617	ENSG00000199843	
RNA5SP359	100873618	ENSG00000201708	
RNA5SP360	100873619	ENSG00000252364	
RNA5SP361	100873620	ENSG00000199556	
RNA5SP362	100873621	ENSG00000251857	
RNA5SP363	100873622	ENSG00000201942	
RNA5SP364	100873623	ENSG00000252747	
RNA5SP365	100873624	ENSG00000252207	
RNA5SP366	100873625	ENSG00000202324	
RNA5SP367	100873626	ENSG00000252366	
RNA5SP368	100873627	ENSG00000201168	
RNA5SP369	100873628	ENSG00000223046	
RNA5SP370	106480765	ENSG00000199415	
RNA5SP371	100873629	ENSG00000222302	
RNA5SP372	100873630	ENSG00000212138	
RNA5SP373	100873631	ENSG00000253080	
RNA5SP374	100873632	ENSG00000199809	
RNA5SP375	100873633	ENSG00000199845	
RNA5SP376	106479010	ENSG00000212251	
RNA5SP377	106479011	ENSG00000212154	
RNA5SP378	100873634	ENSG00000200516	
RNA5SP379	100873635	ENSG00000201469	
RNA5SP380	100873636	ENSG00000252999	
RNA5SP381			
RNA5SP382	100873637	ENSG00000200225	
RNA5SP383	100873638	ENSG00000199804	
RNA5SP384	100873639	ENSG00000252424	
RNA5SP385	100873640	ENSG00000251756	
RNA5SP386	100873641	ENSG00000272253	
RNA5SP387	107133508	ENSG00000201096	
RNA5SP388	100873642	ENSG00000199454	
RNA5SP389	106480766	ENSG00000199480	
RNA5SP390	100873643	ENSG00000222123	
RNA5SP391	100873644	ENSG00000200326	
RNA5SP392	100873645	ENSG00000252714	
RNA5SP393	100873646	ENSG00000200293	
RNA5SP394	100873647	ENSG00000201086	
RNA5SP395	100873648	ENSG00000252376	
RNA5SP396	100873649	ENSG00000201704	
RNA5SP397	100873650	ENSG00000212625	
RNA5SP398			
RNA5SP399	100873652	ENSG00000200873	
RNA5SP400	100873653	ENSG00000252964	
RNA5SP401	100873654	ENSG00000251729	
RNA5SP402	100873655	ENSG00000252957	
RNA5SP403	106479012	ENSG00000200468	
RNA5SP404	100873656	ENSG00000252927	
RNA5SP405	100873657	ENSG00000199929	
RNA5SP406	100873658	ENSG00000251915	
RNA5SP407	100873659	ENSG00000222207	
RNA5SP408	100873660	ENSG00000251924	
RNA5SP409	100873661	ENSG00000252624	
RNA5SP410	100873662	ENSG00000252094	
RNA5SP411	100887740	ENSG00000276599	
RNA5SP412	100873663	ENSG00000277004	
RNA5SP413	100873664	ENSG00000252182	
RNA5SP414	100873665	ENSG00000274228	
RNA5SP415	100873666	ENSG00000253055	
RNA5SP416	100873667	ENSG00000252647	
RNA5SP417	100873668	ENSG00000252268	
RNA5SP418	100873669	ENSG00000251760	
RNA5SP419	100873670	ENSG00000251717	
RNA5SP420	100873671	ENSG00000252806	
RNA5SP421	100873672	ENSG00000252673	
RNA5SP422	100873673	ENSG00000252587	
RNA5SP423	100873674	ENSG00000252936	
RNA5SP424	100873675		
RNA5SP425	100873676	ENSG00000222268	
RNA5SP426	100873677	ENSG00000199771	
RNA5SP427	100873678	ENSG00000202193	
RNA5SP428	100873679	ENSG00000201999	
RNA5SP429	106480767	ENSG00000200558	
RNA5SP430	100873680	ENSG00000199299	
RNA5SP431	100873681	ENSG00000222244	
RNA5SP432	100873682	ENSG00000199350	
RNA5SP433	100873683	ENSG00000201361	
RNA5SP434	100873684	ENSG00000252456	
RNA5SP435	106479013	ENSG00000200914	
RNA5SP436	100873685	ENSG00000251829	
RNA5SP437	100873686	ENSG00000253058	
RNA5SP438	100873687	ENSG00000252370	
RNA5SP439	106479014	ENSG00000274164	
RNA5SP440	100873688	ENSG00000276036	
RNA5SP441	100873689	ENSG00000252618	
RNA5SP442	106480768	ENSG00000201920	
RNA5SP443	106481745	ENSG00000199953	
RNA5SP444	100873690	ENSG00000252653	
RNA5SP445	100873691	ENSG00000251698	
RNA5SP446	100873692	ENSG00000251764	
RNA5SP447	100873693	ENSG00000200619	
RNA5SP448	106479015	ENSG00000200021	
RNA5SP449	100873694	ENSG00000252680	
RNA5SP450	100873695	ENSG00000223138	
RNA5SP451	100873696	ENSG00000222520	
RNA5SP452	100873697	ENSG00000199874	
RNA5SP453	100873698	ENSG00000199373	
RNA5SP454	100873699	ENSG00000253040	
RNA5SP455	100873700	ENSG00000202060	
RNA5SP456	100873701	ENSG00000200872	
RNA5SP457	100873702	ENSG00000200527	
RNA5SP458	106479016	ENSG00000251997	
RNA5SP459	100873703	ENSG00000252437	
RNA5SP460	100873704	ENSG00000252598	
RNA5SP461	100873705	ENSG00000252260	
RNA5SP462	100873706	ENSG00000252539	
RNA5SP463	100873707	ENSG00000199900	
RNA5SP464	100873708	ENSG00000252060	
RNA5SP465	100873709	ENSG00000212497	
RNA5SP466	100873710	ENSG00000252546	
RNA5SP467	100873711	ENSG00000212576	
RNA5SP468	106480769	ENSG00000252591	
RNA5SP469	100873712	ENSG00000201035	
RNA5SP470	100873713	ENSG00000252272	
RNA5SP471	100873714	ENSG00000252780	
RNA5SP472	100873715	ENSG00000200738	
RNA5SP473	106479017	ENSG00000252211	
RNA5SP474	100873716	ENSG00000212536	
RNA5SP475	100873717	ENSG00000222500	
RNA5SP476	100873718	ENSG00000252422	
RNA5SP477	100873719	ENSG00000199509	
RNA5SP478	100873720	ENSG00000201527	
RNA5SP479	100873721	ENSG00000201728	
RNA5SP480	100873722	ENSG00000252649	
RNA5SP481	100873723	ENSG00000252623	
RNA5SP482	100873724	ENSG00000212571	
RNA5SP483	100873725	ENSG00000200301	
RNA5SP484	100873726	ENSG00000238908	
RNA5SP485	100873727	ENSG00000201923	
RNA5SP486	100873728	ENSG00000251770	
RNA5SP487	100873729	ENSG00000222118	
RNA5SP488	100873730	ENSG00000201812	
RNA5SP489	100873731	ENSG00000238627	
RNA5SP490	100873732	ENSG00000252950	
RNA5SP491	100873733	ENSG00000199806	
RNA5SP492	100873734	ENSG00000223262	
RNA5SP493	100873735	ENSG00000200985	
RNA5SP494	100873736	ENSG00000222585	
RNA5SP495	100873737	ENSG00000252267	
RNA5SP496	100873738	ENSG00000212542	
RNA5SP497	100873739	ENSG00000251890	
RNA5SP498	106480770	ENSG00000223274	
RNA5SP499	100873550	ENSG00000200852	
RNA5SP500	100873551	ENSG00000201356	
RNA5SP501	100873552	ENSG00000222922	
RNA5SP502	100873553	ENSG00000199564	
RNA5SP503	100873554	ENSG00000252856	
RNA5SP504	100873555	ENSG00000222608	
RNA5SP505	100873556	ENSG00000201618	
RNA5SP506	100873557	ENSG00000272351	
RNA5SP507	100873558	ENSG00000200473	
RNA5SP508	100873559	ENSG00000223259	
RNA5SP509	100873560	ENSG00000201447	
RNA5SP510	100873561	ENSG00000201567	
RNA5SP511	100873562	ENSG00000222419	
RNA5SP512	100873563	ENSG00000201420	
RNA5SP513	100873564	ENSG00000201518	
RNA5SP514	100873565	ENSG00000200587	
RNA5SP515	100873566	ENSG00000201440	
RNA5SP516	100873567	ENSG00000201000	
RNA5SP517	100873568	ENSG00000201594	
RNA5SP518	100873569	ENSG00000251766	
RNA5SP519	100873570	ENSG00000252289	
RNA5SP520	106480771	ENSG00000252315	
RNA5SP521	106479018	ENSG00000252012	
RNA5SP522	106479019	ENSG00000251953	
RNA5SP523	106480772	ENSG00000252667	
RNA5SP524	111644143	ENSG00000201285	
RNA5SP525	111644134	ENSG00000212595	
RNA5SP526	111644135	ENSG00000274663	
RNA5SP527	111644144	ENSG00000274759	
RNA5SP528	111644145	ENSG00000275305	
RNA5SP529	111644136	ENSG00000276442	
RNA5SP530	112436692	ENSG00000277049	
RNA5SP531	111644137	ENSG00000277418	
RNA5SP532	112441442	ENSG00000283433	
RNA5SP533	111644138	ENSG00000252830	
RNA5SP534	111644140	ENSG00000274059	
RNA5SP535	111644139	ENSG00000274097	
RNA5SP536	111644146	ENSG00000274408	
RNA18S1	106632259		
RNA18S2	106632258		
RNA18S3	106631782		
RNA18S4	110255165		
RNA18S5	110255169		
RNA18SN1	106631781		
RNA18SN2	109864280		
RNA18SN3	109910380		
RNA18SN4	109864273		
RNA18SN5	100008588		
RNA18SP2	359724		
RNA18SP3	109864277		
RNA18SP4	109864275		
RNA18SP5	109910383		
RNA28S1	106632267		
RNA28S2	106632266		
RNA28S3	106632265		
RNA28S4	110255164		
RNA28S5	110255168		
RNA28SN1	106632264		
RNA28SN2	109864282		
RNA28SN3	109910382		
RNA28SN4	109864272		
RNA28SN5	100008589		
RNA45S1	106631780		
RNA45S2	106631779		
RNA45S3	106631778		
RNA45S4	110255163		
RNA45S5	110255167		
RNA45SN1	106631777		
RNA45SN2	109864279		
RNA45SN3	109910379		
RNA45SN4	109864271		
RNA45SN5	100861532		
RNASE1	6035	ENSG00000129538	P07998
RNASE2	6036	ENSG00000169385	P10153
RNASE3	6037	ENSG00000169397	P12724
RNASE4	6038	ENSG00000258818	P34096
RNASE6	6039	ENSG00000169413	Q93091
RNASE7	84659	ENSG00000165799	Q9H1E1
RNASE8	122665	ENSG00000173431	Q8TDE3
RNASE9	390443	ENSG00000188655	P60153
RNASE10	338879	ENSG00000182545	Q5GAN6
RNASE11	122651	ENSG00000173464	Q8TAA1
RNASE12	493901	ENSG00000258436	Q5GAN4
RNASE13	440163	ENSG00000206150	Q5GAN3
RNASEH1	246243	ENSG00000171865	O60930
RNASEH1-AS1	100506054	ENSG00000234171	
RNASEH1P1	284203	ENSG00000265790	
RNASEH1P2	390766	ENSG00000231458	
RNASEH1P3	199827		
RNASEH2A	10535	ENSG00000104889	O75792
RNASEH2B	79621	ENSG00000136104	Q5TBB1
RNASEH2B-AS1	100874255	ENSG00000233672	
RNASEH2C	84153	ENSG00000172922	Q8TDP1
RNASEH2CP1	386608	ENSG00000237659	
RNASEK	440400	ENSG00000219200	Q6P5S7
RNASEK-C17orf49	100529209	ENSG00000161939	
RNASEL	6041	ENSG00000135828	Q05823
RNASEL1			
RNASET2	8635	ENSG00000026297	O00584
RND1	27289	ENSG00000172602	Q92730
RND2	8153	ENSG00000108830	P52198
RND3	390	ENSG00000115963	P61587
RNE1			
RNE2			
RNE3			
RNF2	6045	ENSG00000121481	Q99496
RNF2P1	100132467	ENSG00000231381	
RNF4	6047	ENSG00000063978	P78317
RNF5	6048	ENSG00000204308	Q99942
RNF5P1	286140	ENSG00000253570	
RNF6	6049	ENSG00000127870	Q9Y252
RNF6P1	100420924	ENSG00000227406	
RNF7	9616	ENSG00000114125	Q9UBF6
RNF7P1	100506872	ENSG00000239831	
RNF8	9025	ENSG00000112130	O76064
RNF10	9921	ENSG00000022840	Q8N5U6
RNF10P1	100419599	ENSG00000230182	
RNF11	26994	ENSG00000123091	Q9Y3C5
RNF11P1	100131695	ENSG00000213110	
RNF11P2	170543	ENSG00000227563	
RNF13	11342	ENSG00000082996	O43567
RNF14	9604	ENSG00000013561	Q9UBS8
RNF14P1	100129375	ENSG00000232915	
RNF14P2	116435284	ENSG00000250594	
RNF14P3	100419643	ENSG00000238109	
RNF14P4	100419645	ENSG00000223500	
RNF17	56163	ENSG00000132972	Q9BXT8
RNF19A	25897	ENSG00000034677	Q9NV58
RNF19B	127544	ENSG00000116514	Q6ZMZ0
RNF19BPX	100419788	ENSG00000227434	
RNF19BPY	100419722	ENSG00000225653	
RNF20	56254	ENSG00000155827	Q5VTR2
RNF24	11237	ENSG00000101236	Q9Y225
RNF25	64320	ENSG00000163481	Q96BH1
RNF26	79102	ENSG00000173456	Q9BY78
RNF31	55072	ENSG00000092098	Q96EP0
RNF32	140545	ENSG00000105982	Q9H0A6
RNF32-AS1	101927858		
RNF33			
RNF34	80196	ENSG00000170633	Q969K3
RNF35			
RNF38	152006	ENSG00000137075	Q9H0F5
RNF39	80352	ENSG00000204618	Q9H2S5
RNF40	9810	ENSG00000103549	O75150
RNF41	10193	ENSG00000181852	Q9H4P4
RNF43	54894	ENSG00000108375	Q68DV7
RNF44	22838	ENSG00000146083	Q7L0R7
RNF103	7844	ENSG00000239305	O00237
RNF103-CHMP3	100526767	ENSG00000249884	
RNF111	54778	ENSG00000157450	Q6ZNA4
RNF112	7732	ENSG00000128482	Q9ULX5
RNF113A	7737	ENSG00000125352	O15541
RNF113B	140432	ENSG00000139797	Q8IZP6
RNF114	55905	ENSG00000124226	Q9Y508
RNF115	27246	ENSG00000265491	Q9Y4L5
RNF121	55298	ENSG00000137522	Q9H920
RNF122	79845	ENSG00000133874	Q9H9V4
RNF123	63891	ENSG00000164068	Q5XPI4
RNF125	54941	ENSG00000101695	Q96EQ8
RNF126	55658	ENSG00000070423	Q9BV68
RNF126P1	376412	ENSG00000261192	
RNF128	79589	ENSG00000133135	Q8TEB7
RNF130	55819	ENSG00000113269	Q86XS8
RNF133	168433	ENSG00000188050	Q8WVZ7
RNF135	84282	ENSG00000181481	Q8IUD6
RNF138	51444	ENSG00000134758	Q8WVD3
RNF138P1	379013	ENSG00000250853	
RNF138P2	100419777	ENSG00000271194	
RNF139	11236	ENSG00000170881	Q8WU17
RNF139-AS1	101927612	ENSG00000245149	
RNF141	50862	ENSG00000110315	Q8WVD5
RNF144A	9781	ENSG00000151692	P50876
RNF144B	255488	ENSG00000137393	Q7Z419
RNF145	153830	ENSG00000145860	Q96MT1
RNF146	81847	ENSG00000118518	Q9NTX7
RNF148	378925	ENSG00000235631	Q8N7C7
RNF149	284996	ENSG00000163162	Q8NC42
RNF150	57484	ENSG00000170153	Q9ULK6
RNF151	146310	ENSG00000179580	Q2KHN1
RNF152	220441	ENSG00000176641	Q8N8N0
RNF152P1	100419687	ENSG00000214190	
RNF157	114804	ENSG00000141576	Q96PX1
RNF157-AS1	100507218	ENSG00000267128	
RNF165	494470	ENSG00000141622	Q6ZSG1
RNF165-IT1			
RNF166	115992	ENSG00000158717	Q96A37
RNF167	26001	ENSG00000108523	Q9H6Y7
RNF168	165918	ENSG00000163961	Q8IYW5
RNF169	254225	ENSG00000166439	Q8NCN4
RNF170	81790	ENSG00000120925	Q96K19
RNF175	285533	ENSG00000145428	Q8N4F7
RNF180	285671	ENSG00000164197	Q86T96
RNF181	51255	ENSG00000168894	Q9P0P0
RNF182	221687	ENSG00000180537	Q8N6D2
RNF183	138065	ENSG00000165188	Q96D59
RNF185	91445	ENSG00000138942	Q96GF1
RNF185-AS1	100852405	ENSG00000254835	
RNF186	54546	ENSG00000178828	Q9NXI6
RNF187	149603	ENSG00000168159	Q5TA31
RNF207	388591	ENSG00000158286	Q6ZRF8
RNF207-AS1	102724450		
RNF208	727800	ENSG00000212864	Q9H0X6
RNF212	285498	ENSG00000178222	Q495C1
RNF212B	100507650	ENSG00000215277	A8MTL3
RNF213	57674	ENSG00000173821	Q63HN8
RNF213-AS1	100294362	ENSG00000263069	
RNF214	257160	ENSG00000167257	Q8ND24
RNF215	200312	ENSG00000099999	Q9Y6U7
RNF216	54476	ENSG00000011275	Q9NWF9
RNF216-IT1	100874342	ENSG00000237738	
RNF216P1	441191	ENSG00000196204	Q6NUR6
RNF217	154214	ENSG00000146373	Q8TC41
RNF217-AS1	7955	ENSG00000236548	
RNF220	55182	ENSG00000187147	Q5VTB9
RNF222	643904	ENSG00000189051	A6NCQ9
RNF223	401934	ENSG00000237330	E7ERA6
RNF224	643596	ENSG00000233198	P0DH78
RNF225	646862	ENSG00000269855	M0QZC1
RNF227	284023	ENSG00000179859	A6NIN4
RNFT1	51136	ENSG00000189050	Q5M7Z0
RNFT1-DT	101927755	ENSG00000267302	
RNFT1P1	100420886		
RNFT1P2	100132264	ENSG00000233333	
RNFT1P3	101929203	ENSG00000187870	
RNFT2	84900	ENSG00000135119	Q96EX2
RNGTT	8732	ENSG00000111880	O60942
RNGTTP1	100421428	ENSG00000237731	
RNH1	6050	ENSG00000023191	P13489
RNLS	55328	ENSG00000184719	Q5VYX0
RNMT	8731	ENSG00000101654	O43148
RNMTL1P1	100420295	ENSG00000231553	
RNMTL1P2	100420223	ENSG00000236195	
RNN			
RNNL			
RNPC3	55599	ENSG00000185946	Q96LT9
RNPC3P1	654340		
RNPEP	6051	ENSG00000176393	Q9H4A4
RNPEPL1	57140	ENSG00000142327	Q9HAU8
RNPS1	10921	ENSG00000205937	Q15287
RNPS1P1	643446	ENSG00000250896	
RNPU1Z			
RNR1	6052		
RNR2	6053		
RNR3	6054		
RNR4	6055		
RNR5	6056		
RNRP1			
RNRP2			
RNS1			
RNS2			
RNS3			
RNS4			
RNS4I			
RNS6			
RNU1			
RNU1-1	26871	ENSG00000206652	
RNU1-2	26870	ENSG00000207005	
RNU1-3	26869	ENSG00000207513	
RNU1-4	6060	ENSG00000207389	
RNU1-5P	107105261	ENSG00000277234	
RNU1-6P	106480152	ENSG00000277344	
RNU1-7P	106481952	ENSG00000200975	
RNU1-8P	106481604	ENSG00000207056	
RNU1-11P	26861	ENSG00000206702	
RNU1-13P			
RNU1-14P	26859	ENSG00000199629	
